[I 240812 10:54:51 API:64] on open
[I 240812 10:56:25 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6217119, 'exchange_timestamp': 1723440385000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:26 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6217886, 'exchange_timestamp': 1723440386000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:27 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6218675, 'exchange_timestamp': 1723440387000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:28 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6219462, 'exchange_timestamp': 1723440388000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:29 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6220421, 'exchange_timestamp': 1723440389000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:30 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6220885, 'exchange_timestamp': 1723440390000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:30 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6221004, 'exchange_timestamp': 1723440390000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:31 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6221796, 'exchange_timestamp': 1723440391000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:32 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6222596, 'exchange_timestamp': 1723440392000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:33 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6223359, 'exchange_timestamp': 1723440393000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
